modelnumber,genre,maker,thumbnail,image,manual,productname,releasedate
A1533,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM386/en_US/iphone5s-gold-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP685/SP685-color_black.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP685/SP685-color_gold.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP685/SP685-color_silver.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5s,
A1456,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM385/en_US/iPhone5c-white-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_pink.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_yellow.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_blue.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_green.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5c,
A1507,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM385/en_US/iPhone5c-white-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_pink.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_yellow.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_blue.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_green.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5c,
A1516,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM385/en_US/iPhone5c-white-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_pink.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_yellow.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_blue.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_green.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5c,
A1529,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM385/en_US/iPhone5c-white-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_pink.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_yellow.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_blue.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_green.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5c,
A1532,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM385/en_US/iPhone5c-white-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_pink.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_yellow.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_blue.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP684/SP684-color_green.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 5c,
A1428,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM332/en_US/iphone5-120.png,https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP655/sp655_iphone5_color.jpg,https://help.apple.com/iphone/10/?lang=ja,iPhone 5,
A1429,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM332/en_US/iphone5-120.png,https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP655/sp655_iphone5_color.jpg,https://help.apple.com/iphone/10/?lang=ja,iPhone 5,
A1442,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM332/en_US/iphone5-120.png,https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP655/sp655_iphone5_color.jpg,https://help.apple.com/iphone/10/?lang=ja,iPhone 5,
A1431,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM311/en_US/iphone4s-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP643/sp643_iphone4s_color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP643/sp643_iphone4s_color_black.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 4s,
A1387,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM311/en_US/iphone4s-120.png,"https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP643/sp643_iphone4s_color_white.jpg, https://support.apple.com/library/APPLE/APPLECARE_ALLGEOS/SP643/sp643_iphone4s_color_black.jpg",https://help.apple.com/iphone/10/?lang=ja,iPhone 4s,
A1349,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM250/en_US/IPhone4w-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 4,
A1332,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM250/en_US/IPhone4w-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 4,
A1325,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM224/en_US/iphone3gs-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 3GS,
A1303,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM224/en_US/iphone3gs-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 3GS,
A1324,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM200/en_US/iphone3g-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 3G,
A1241,スマートフォン,apple,https://km.support.apple.com.edgekey.net/resources/sites/APPLE/content/live/IMAGES/0/IM200/en_US/iphone3g-120.png,,https://help.apple.com/iphone/10/?lang=ja,iPhone 3G,
,,,,,,,
,,,,,,,
